district_name_x,district_code,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",district_name_y,tests_taken_x,score=1,score=2,score=3,score=4,score=5,%_score_1-2,%_score_3-5,district_name_x,tests_takers,tests_taken_y,one_test,two_tests,three_tests,four_tests,five_or_more_tests,district_name_y,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),district_name_x,tests_taken,reading_/_writing,writing,math,district_name_y,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
Maynard,1740000,     805,15.6,"      1,189",1.8,2.0,13.2,78.3,0.2,0.0,4.5,Maynard,     130,      12,      36,      32,      27,      23,36.9,63.1,Maynard,      86,     130,      52,      26,       6,       2,       0,Maynard,91.0,60.0,65.9,0.0,41.7,8.3,50.0,8.3,11.7,26.7,Maynard,      31,640.0,,621.0,Maynard,        98,88.8,2.0,2.0,2.0,5.1,0.0
Medfield,1750000,"   1,475",17.5,"      2,507",1.2,4.2,3.6,87.0,0.3,0.0,3.8,Medfield,     494,      63,      73,     113,     156,      89,27.5,72.5,Medfield,     267,     494,     127,      76,      43,      19,       2,Medfield,205.0,177.0,86.3,0.0,61.6,4.0,33.9,2.8,1.7,7.9,Medfield,     299,588.0,,599.0,Medfield,       211,96.2,1.4,0.0,0.0,2.4,0.0
Medford,1760000,"   2,194",13.0,"      3,969",11.8,9.6,13.9,59.1,0.5,0.1,5.0,Medford,     296,      21,      72,      71,      80,      52,31.4,68.6,Medford,     153,     296,      66,      58,      12,       8,       9,Medford,303.0,178.0,58.7,0.0,32.0,25.8,42.1,25.8,10.1,23.0,Medford,     179,552.0,,555.0,Medford,       329,88.8,6.7,0.0,1.2,3.3,0.0
Medway,1770000,"   1,215",15.9,"      2,094",1.6,3.3,5.9,86.2,0.2,0.1,2.6,Medway,     484,      47,     130,     157,      97,      53,36.6,63.4,Medway,     248,     484,     111,      70,      43,      16,       8,Medway,190.0,156.0,82.1,0.0,57.7,3.8,38.5,3.8,12.8,3.8,Medway,     239,580.0,,584.0,Medway,       193,96.9,1.6,0.0,1.0,0.5,0.0
Melrose,1780000,"   1,641",18.7,"      3,691",6.0,6.0,5.4,76.8,0.1,0.0,5.6,Melrose,     486,      40,     118,     149,     126,      53,32.5,67.5,Melrose,     265,     486,     127,      81,      36,      16,       5,Melrose,277.0,217.0,78.3,0.0,47.9,5.5,46.5,5.5,8.3,12.4,Melrose,     150,597.0,,563.0,Melrose,       287,95.5,3.8,0.0,0.0,0.7,0.0
Mendon-Upton,7100000,"   1,163",15.2,"      2,170",0.7,2.7,5.4,88.8,0.1,0.0,2.3,Mendon-Upton,     456,      79,      92,     123,     109,      53,37.5,62.5,Mendon-Upton,     219,     456,      74,      75,      52,      14,       4,Mendon-Upton,151.0,123.0,81.5,0.0,36.6,8.9,54.5,8.1,17.9,15.4,Mendon-Upton,     249,573.0,,551.0,Mendon-Upton,       153,98.0,1.3,0.0,0.0,0.7,0.0
Methuen,1810000,"   3,001",18.3,"      6,572",3.8,3.7,46.0,42.6,0.1,0.1,3.9,Methuen,     576,     122,     188,     167,      80,      19,53.8,46.2,Methuen,     354,     576,     205,      95,      41,       8,       5,Methuen,453.0,272.0,60.0,0.0,29.0,32.7,38.2,29.8,9.6,19.5,Methuen,     144,551.0,,544.0,Methuen,       484,93.2,3.5,0.2,0.4,2.7,0.0
Middleborough,1820000,"   1,688",16.0,"      2,922",2.5,1.1,2.8,88.0,0.6,0.0,5.0,Middleborough,     210,      29,      53,      66,      44,      18,39.0,61.0,Middleborough,     153,     210,     103,      44,       5,       1,       0,Middleborough,176.0,104.0,59.1,0.0,30.8,17.3,51.9,16.3,31.7,14.4,Middleborough,     216,545.0,,526.0,Middleborough,       189,91.5,4.2,0.0,0.0,3.7,0.5
Middleton,1840000,     362,13.9,        682,1.5,4.4,5.4,84.5,0.6,0.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,1850000,"   2,895",11.3,"      4,329",3.3,1.4,31.7,58.8,1.4,0.1,3.4,Milford,     372,      54,     100,     105,      81,      32,41.4,58.6,Milford,     240,     372,     136,      78,      24,       2,       0,Milford,265.0,179.0,67.5,0.0,36.3,16.8,46.9,16.8,14.0,18.4,Milford,      70,581.0,,556.0,Milford,       304,85.5,5.3,0.0,0.7,8.2,0.3
Millbury,1860000,     782,16.7,"      1,533",3.5,3.4,8.4,78.9,0.0,0.1,5.8,Millbury,     137,      33,      49,      36,      14,       5,59.9,40.1,Millbury,      93,     137,      55,      33,       4,       1,       0,Millbury,108.0,82.0,75.9,0.0,43.9,9.8,46.3,9.8,25.6,11.0,Millbury,      54,529.0,,517.0,Millbury,       115,93.9,4.3,0.0,0.0,1.7,0.0
Millis,1870000,     586,16.1,"      1,172",1.0,2.6,8.1,83.7,0.3,0.2,4.1,Millis,     189,      18,      36,      51,      45,      39,28.6,71.4,Millis,     102,     189,      46,      32,      19,       3,       2,Millis,89.0,69.0,77.5,0.0,42.0,5.8,52.2,5.8,10.1,21.7,Millis,      72,563.0,,573.0,Millis,        93,96.8,1.1,0.0,0.0,2.2,0.0
Milton,1890000,"   2,244",17.3,"      4,343",13.2,7.5,5.1,68.5,0.1,0.1,5.5,Milton,     779,     102,     155,     230,     178,     114,33.0,67.0,Milton,     367,     779,     148,      92,      78,      35,      14,Milton,226.0,189.0,83.6,0.0,54.0,10.1,36.0,9.5,3.7,14.3,Milton,     289,597.0,,594.0,Milton,       236,94.9,3.8,0.0,0.0,1.3,0.0
Minuteman Regional Vocational Technical,8300000,     499,12.8,        627,3.7,3.8,7.7,79.4,0.3,0.0,5.1,Minuteman Regional Vocational Technical,      22,       4,       7,       7,       4,       0,50.0,50.0,Minuteman Regional Vocational Technical,      22,      22,      22,       0,       0,       0,       0,Minuteman Regional Vocational Technical,120.0,60.0,50.0,0.0,41.7,26.7,31.7,25.0,5.0,16.7,Minuteman Regional Vocational Technical,      41,572.0,,541.0,Minuteman Regional Vocational Technical,       120,92.5,5.0,0.0,0.0,2.5,0.0
Mohawk Trail,7170000,     452,9.2,        747,0.3,0.1,5.0,92.0,0.0,0.0,2.7,Mohawk Trail,      46,       6,      17,      11,       6,       6,50.0,50.0,Mohawk Trail,      35,      46,      25,       9,       1,       0,       0,Mohawk Trail,45.0,19.0,42.2,0.0,21.1,36.8,42.1,36.8,31.6,5.3,Mohawk Trail,      33,581.0,,557.0,Mohawk Trail,        48,89.6,6.3,0.0,0.0,4.2,0.0
Monomoy Regional School District,7120000,"   1,348",13.4,"      1,766",5.8,1.4,8.8,77.6,0.5,0.2,5.7,Monomoy Regional School District,     212,      28,      47,      74,      47,      16,35.4,64.6,Monomoy Regional School District,     110,     212,      48,      33,      20,       7,       2,Monomoy Regional School District,116.0,87.0,75.0,0.0,37.9,18.4,43.7,17.2,12.6,18.4,Monomoy Regional School District,      77,598.0,,570.0,Monomoy Regional School District,       122,94.3,3.3,0.0,0.8,1.6,0.0
Monson,1910000,     547,13.5,        844,1.3,1.4,6.0,87.4,0.1,0.2,3.4,Monson,      70,      22,      23,      12,       7,       6,64.3,35.7,Monson,      57,      70,      49,       3,       5,       0,       0,Monson,54.0,41.0,75.9,0.0,26.8,22.0,51.2,22.0,31.7,9.8,Monson,       2,,,,Monson,        62,85.5,3.2,0.0,0.0,11.3,0.0
Montachusett Regional Vocational Technical,8320000,     638,17.8,"      1,401",2.1,1.8,17.1,74.9,0.0,0.0,4.2,Montachusett Regional Vocational Technical,     189,      39,      79,      53,      11,       7,62.4,37.6,Montachusett Regional Vocational Technical,     142,     189,      96,      45,       1,       0,       0,Montachusett Regional Vocational Technical,333.0,157.0,47.1,0.0,19.7,40.8,39.5,39.5,28.0,7.0,Montachusett Regional Vocational Technical,      57,562.0,,546.0,Montachusett Regional Vocational Technical,       335,98.5,0.9,0.0,0.0,0.6,0.0
Mount Greylock,7150000,     995,9.3,"      1,079",2.4,1.9,4.9,86.1,0.0,0.0,4.7,Mount Greylock,     291,      55,      60,      82,      50,      44,39.5,60.5,Mount Greylock,     146,     291,      68,      28,      33,      17,       0,Mount Greylock,85.0,59.0,69.4,0.0,55.9,15.3,28.8,15.3,13.6,8.5,Mount Greylock,      54,618.0,,578.0,Mount Greylock,        81,100.0,0.0,0.0,0.0,0.0,0.0
Mystic Valley Regional Charter (District),4700000,     775,24.0,"      1,609",18.2,25.1,9.9,41.8,0.3,0.0,4.8,,,,,,,,,,,,,,,,,,Mystic Valley Regional Charter (District),82.0,73.0,89.0,0.0,45.2,5.5,49.3,5.5,13.7,23.3,Mystic Valley Regional Charter (District),     107,576.0,,594.0,Mystic Valley Regional Charter (District),        82,100.0,0.0,0.0,0.0,0.0,0.0
Nahant,1960000,      74,16.2,        155,0.7,0.7,7.1,85.2,0.0,0.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantucket,1970000,     917,16.1,"      1,688",9.3,1.6,36.4,48.2,0.1,0.0,4.4,Nantucket,     222,      66,      78,      46,      21,      11,64.9,35.1,Nantucket,     119,     222,      47,      45,      23,       4,       0,Nantucket,128.0,81.0,63.3,0.0,53.1,4.9,42.0,2.5,6.2,14.8,Nantucket,     125,524.0,,507.0,Nantucket,       145,86.2,5.5,6.2,0.0,2.1,0.0
Narragansett,7200000,     598,17.4,"      1,349",0.7,0.3,7.9,87.6,0.1,0.1,3.5,Narragansett,     125,      33,      36,      32,      20,       4,55.2,44.8,Narragansett,      73,     125,      35,      26,      10,       2,       0,Narragansett,73.0,49.0,67.1,0.0,28.6,24.5,46.9,22.4,24.5,14.3,Narragansett,      17,588.0,,606.0,Narragansett,        82,89.0,2.4,0.0,0.0,8.5,0.0
Nashoba,7250000,"   1,745",13.3,"      3,108",1.4,3.7,6.7,85.1,0.1,0.1,2.9,Nashoba,     556,      75,     101,     150,     142,      88,31.7,68.3,Nashoba,     296,     556,     162,      65,      34,      16,      19,Nashoba,213.0,171.0,80.3,0.0,57.3,12.9,29.8,12.9,6.4,11.1,Nashoba,     333,595.0,,593.0,Nashoba,       220,95.0,0.9,0.0,0.5,3.6,0.0
Nashoba Valley Regional Vocational Technical,8520000,     461,11.9,        710,2.3,2.0,7.5,84.8,0.3,0.1,3.1,Nashoba Valley Regional Vocational Technical,      68,      25,      24,      16,       3,       0,72.1,27.9,Nashoba Valley Regional Vocational Technical,      45,      68,      27,      13,       5,       0,       0,Nashoba Valley Regional Vocational Technical,157.0,63.0,40.1,0.0,28.6,23.8,47.6,22.2,14.3,27.0,Nashoba Valley Regional Vocational Technical,      15,561.0,,536.0,Nashoba Valley Regional Vocational Technical,       157,98.1,1.9,0.0,0.0,0.0,0.0
Natick,1980000,"   2,569",17.9,"      5,291",2.8,10.5,6.9,74.2,0.1,0.0,5.5,Natick,     824,      36,      96,     186,     261,     245,16.0,84.0,Natick,     483,     824,     279,     117,      57,      16,      14,Natick,431.0,352.0,81.7,0.0,47.4,5.4,47.2,5.4,8.5,16.8,Natick,     377,607.0,,603.0,Natick,       442,97.1,2.0,0.2,0.2,0.5,0.0
Nauset,6600000,"   1,070",13.6,"      1,410",5.3,2.1,5.3,84.5,0.1,0.1,2.6,Nauset,     501,      61,     102,     169,     119,      50,32.5,67.5,Nauset,     247,     501,     111,      64,      42,      18,      12,Nauset,237.0,166.0,70.0,0.0,43.4,21.1,35.5,19.9,4.2,18.7,Nauset,     163,564.0,,534.0,Nauset,       236,95.8,1.3,0.4,0.0,2.5,0.0
Needham,1990000,"   2,482",16.4,"      5,527",3.2,10.5,6.1,74.5,0.1,0.1,5.6,Needham,     876,      18,      71,     175,     321,     291,10.2,89.8,Needham,     456,     876,     203,     137,      70,      42,       4,Needham,404.0,344.0,85.1,0.0,61.3,2.6,36.0,2.6,2.3,8.7,Needham,     357,629.0,,645.0,Needham,       406,98.5,1.0,0.2,0.0,0.2,0.0
Neighborhood House Charter (District),4440000,     364,16.7,        795,52.8,2.5,25.8,13.0,0.8,0.0,5.2,Neighborhood House Charter (District),      55,      28,      27,       0,       0,       0,100.0,0.0,Neighborhood House Charter (District),      38,      55,      22,      15,       1,       0,       0,,,,,,,,,,,,Neighborhood House Charter (District),      94,440.0,,448.0,,,,,,,,
New Bedford,2010000,"   6,457",17.0,"     12,685",13.5,0.8,41.8,38.1,0.3,0.1,5.4,New Bedford,     552,     186,     154,     140,      52,      20,61.6,38.4,New Bedford,     285,     552,     127,      76,      61,      15,       6,New Bedford,495.0,151.0,30.5,0.0,23.2,31.8,45.0,31.8,20.5,22.5,New Bedford,      27,516.0,,490.0,New Bedford,       582,80.6,6.9,0.3,0.3,11.9,0.0
New Heights Charter School of Brockton (District),35130000,     190,24.0,        636,87.7,0.6,7.1,1.4,0.2,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Heights Charter School of Brockton (District),       6,,,,,,,,,,,
New Salem-Wendell,7280000,      79,16.4,        131,0.0,0.0,4.6,87.8,0.0,0.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,2040000,"   1,712",14.0,"      2,150",0.9,1.9,4.3,90.3,0.0,0.0,2.6,Newburyport,     379,      61,      83,     104,      90,      41,38.0,62.0,Newburyport,     193,     379,      78,      64,      35,      12,       4,Newburyport,178.0,145.0,81.5,0.0,43.4,12.4,44.1,11.0,4.8,13.1,Newburyport,     182,581.0,,583.0,Newburyport,       186,94.6,4.3,0.0,0.5,0.5,0.0
Newton,2070000,"   5,815",17.1,"     12,121",4.6,20.1,8.6,58.9,0.1,0.1,7.7,Newton,"   1,474",      77,     164,     310,     481,     442,16.4,83.6,Newton,     829,"   1,474",     414,     258,     101,      42,      14,Newton,1003.0,761.0,75.9,0.0,57.0,5.3,37.7,4.6,2.1,15.5,Newton,     926,639.0,,657.0,Newton,"     1,022",96.0,2.8,0.0,0.3,0.9,0.0
Norfolk,2080000,     243,22.3,        987,0.7,2.4,3.3,90.6,0.0,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk County Agricultural,9150000,     445,16.7,        586,1.2,1.2,1.4,91.0,0.3,0.3,4.6,Norfolk County Agricultural,       1,,,,,,,,Norfolk County Agricultural,       1,,,,,,,Norfolk County Agricultural,119.0,75.0,63.0,0.0,28.0,14.7,57.3,14.7,14.7,13.3,Norfolk County Agricultural,      58,541.0,,506.0,Norfolk County Agricultural,       120,98.3,0.8,0.0,0.0,0.8,0.0
North Adams,2090000,     555,14.9,"      1,300",2.3,0.5,6.9,81.2,0.4,0.3,8.4,North Adams,     148,      92,      30,      15,       9,       2,82.4,17.6,North Adams,      90,     148,      52,      24,       9,       4,       1,North Adams,79.0,33.0,41.8,3.0,12.1,6.1,78.8,3.0,57.6,6.1,North Adams,       4,,,,North Adams,        99,74.7,3.0,4.0,3.0,15.2,0.0
North Andover,2110000,"   3,044",18.0,"      4,559",2.9,7.6,13.5,72.5,0.1,0.1,3.3,North Andover,     455,      23,      68,     135,     133,      96,20.0,80.0,North Andover,     260,     455,     126,      87,      37,       8,       2,North Andover,329.0,273.0,83.0,0.0,48.4,12.1,39.6,11.4,2.9,18.3,North Andover,     500,576.0,,567.0,North Andover,       333,97.3,1.8,0.6,0.0,0.3,0.0
North Attleborough,2120000,"   2,158",15.6,"      3,991",4.4,7.6,5.3,78.4,0.2,0.1,4.0,North Attleborough,     532,      70,     111,     158,     130,      63,34.0,66.0,North Attleborough,     279,     532,     142,      65,      35,      30,       7,North Attleborough,285.0,219.0,76.8,0.0,41.6,8.2,50.2,7.3,12.8,16.0,North Attleborough,     232,588.0,,585.0,North Attleborough,       300,94.0,3.0,0.0,0.3,2.7,0.0
North Brookfield,2150000,     230,11.2,        516,1.0,0.6,7.2,87.0,0.0,0.0,4.3,North Brookfield,      16,       2,       8,       5,       0,       1,62.5,37.5,North Brookfield,      11,      16,       6,       5,       0,       0,       0,North Brookfield,42.0,23.0,54.8,0.0,52.2,17.4,30.4,17.4,17.4,0.0,North Brookfield,      12,579.0,,563.0,North Brookfield,        42,92.9,4.8,0.0,0.0,2.4,0.0
North Middlesex,7350000,"   1,579",18.6,"      2,941",2.0,1.9,5.3,87.5,0.1,0.0,3.2,North Middlesex,     279,      36,      99,      80,      44,      20,48.4,51.6,North Middlesex,     175,     279,     101,      46,      26,       2,       0,North Middlesex,214.0,157.0,73.4,0.0,42.7,10.2,47.1,10.2,19.1,12.7,North Middlesex,     197,568.0,,548.0,North Middlesex,       214,97.7,1.9,0.0,0.0,0.5,0.0
North Reading,2170000,"   1,297",17.3,"      2,313",0.7,4.7,4.2,87.2,0.0,0.0,3.2,North Reading,     291,      15,      49,      90,      89,      48,22.0,78.0,North Reading,     165,     291,      77,      59,      22,       5,       2,North Reading,201.0,168.0,83.6,0.0,48.2,6.5,45.2,5.4,10.7,16.1,North Reading,     251,575.0,,571.0,North Reading,       201,99.0,1.0,0.0,0.0,0.0,0.0
Northampton,2100000,"   1,207",16.8,"      2,648",3.2,3.1,16.6,69.9,0.2,0.0,7.0,Northampton,     420,      39,     101,     114,      99,      67,33.3,66.7,Northampton,     224,     420,      97,      73,      40,      13,       1,Northampton,197.0,135.0,68.5,0.0,43.0,28.1,28.9,27.4,6.7,14.1,Northampton,     145,616.0,,596.0,Northampton,       209,92.8,1.9,0.5,1.4,3.3,0.0
Northampton-Smith Vocational Agricultural,4060000,     429,12.4,        535,1.5,0.6,12.9,83.2,0.0,0.2,1.7,Northampton-Smith Vocational Agricultural,      39,      18,      17,       4,       0,       0,89.7,10.3,Northampton-Smith Vocational Agricultural,      34,      39,      29,       5,       0,       0,       0,Northampton-Smith Vocational Agricultural,110.0,30.0,27.3,0.0,20.0,53.3,26.7,50.0,20.0,3.3,Northampton-Smith Vocational Agricultural,       4,,,,Northampton-Smith Vocational Agricultural,       115,94.8,0.9,0.0,1.7,2.6,0.0
Northboro-Southboro,7300000,     802,14.6,"      1,357",1.6,12.3,6.6,74.5,0.4,0.4,4.2,Northboro-Southboro,     935,      25,      97,     259,     319,     235,13.0,87.0,Northboro-Southboro,     466,     935,     205,     145,      58,      34,      24,Northboro-Southboro,337.0,278.0,82.5,0.0,46.4,6.8,46.8,6.8,8.6,16.5,Northboro-Southboro,     543,604.0,,615.0,Northboro-Southboro,       348,96.6,1.7,0.0,0.0,1.7,0.0
Northborough,2130000,     610,15.8,"      1,531",1.4,12.6,9.7,70.2,0.5,2.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northbridge,2140000,     804,17.8,"      1,971",1.1,0.8,9.2,83.7,0.1,0.1,5.1,Northbridge,     190,      55,      46,      40,      32,      17,53.2,46.8,Northbridge,     121,     190,      56,      61,       4,       0,       0,Northbridge,111.0,66.0,59.5,0.0,36.4,12.1,51.5,10.6,21.2,9.1,Northbridge,      53,561.0,,542.0,Northbridge,       121,90.9,3.3,0.0,1.7,4.1,0.0
Northeast Metropolitan Regional Vocational Technical,8530000,"   1,502",11.5,"      1,292",3.2,0.9,33.7,60.3,0.1,0.2,1.8,Northeast Metropolitan Regional Vocational Technical,     111,      73,      27,      10,       1,       0,90.1,9.9,Northeast Metropolitan Regional Vocational Technical,      75,     111,      47,      20,       8,       0,       0,Northeast Metropolitan Regional Vocational Technical,286.0,110.0,38.5,0.0,36.4,34.5,29.1,30.9,13.6,6.4,Northeast Metropolitan Regional Vocational Technical,      57,484.0,,462.0,Northeast Metropolitan Regional Vocational Technical,       290,97.9,1.0,0.0,0.3,0.7,0.0
Northern Berkshire Regional Vocational Technical,8510000,     441,11.1,        501,0.8,0.6,1.4,95.4,0.0,0.0,1.8,Northern Berkshire Regional Vocational Technical,      20,      12,       6,       1,       1,       0,90.0,10.0,Northern Berkshire Regional Vocational Technical,      10,      20,       2,       6,       2,       0,       0,Northern Berkshire Regional Vocational Technical,115.0,47.0,40.9,0.0,31.9,21.3,46.8,17.0,29.8,4.3,Northern Berkshire Regional Vocational Technical,      21,528.0,,480.0,Northern Berkshire Regional Vocational Technical,       117,97.4,2.6,0.0,0.0,0.0,0.0
Norton,2180000,"   1,341",15.9,"      2,403",2.3,1.9,4.0,88.1,0.2,0.0,3.6,Norton,     354,      52,     105,     107,      73,      17,44.4,55.6,Norton,     182,     354,      77,      57,      33,      11,       4,Norton,180.0,138.0,76.7,0.0,44.9,9.4,45.7,7.2,11.6,18.8,Norton,     103,577.0,,549.0,Norton,       187,94.1,2.7,0.0,0.0,3.2,0.0
Norwell,2190000,     952,14.9,"      2,223",0.3,2.2,1.5,92.3,0.0,0.1,3.6,Norwell,     458,      47,      93,     133,     107,      78,30.6,69.4,Norwell,     259,     458,     138,      60,      47,      11,       3,Norwell,186.0,161.0,86.6,0.0,55.9,3.1,41.0,2.5,3.7,13.0,Norwell,     239,601.0,,581.0,Norwell,       191,96.9,1.6,0.0,0.5,1.0,0.0
Norwood,2200000,"   2,751",8.6,"      3,425",10.6,8.3,17.1,60.5,0.1,0.6,2.8,Norwood,     262,      33,      68,      91,      50,      20,38.5,61.5,Norwood,     163,     262,      97,      40,      22,       2,       2,Norwood,247.0,171.0,69.2,0.0,42.1,14.0,43.9,12.3,14.6,18.7,Norwood,     199,556.0,,562.0,Norwood,       250,94.8,2.4,0.4,0.0,2.4,0.0
Oak Bluffs,2210000,     198,16.7,        448,3.4,1.3,32.1,55.8,1.1,0.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Colony Regional Vocational Technical,8550000,     248,16.6,        553,0.5,0.9,2.2,93.7,0.2,0.0,2.5,Old Colony Regional Vocational Technical,      75,      21,      30,      14,       7,       3,68.0,32.0,Old Colony Regional Vocational Technical,      65,      75,      56,       8,       1,       0,       0,Old Colony Regional Vocational Technical,134.0,68.0,50.7,0.0,17.6,38.2,44.1,35.3,25.0,16.2,Old Colony Regional Vocational Technical,      10,564.0,,543.0,Old Colony Regional Vocational Technical,       135,99.3,0.7,0.0,0.0,0.0,0.0
Old Rochester,7400000,"   1,240",8.8,"      1,136",2.3,1.4,1.9,89.4,0.1,0.0,4.9,Old Rochester,     422,      39,      94,     144,      88,      57,31.5,68.5,Old Rochester,     224,     422,     110,      57,      37,      14,       6,Old Rochester,171.0,131.0,76.6,0.0,32.8,10.7,56.5,10.7,13.7,20.6,Old Rochester,      99,593.0,,583.0,Old Rochester,       180,95.0,2.8,1.1,0.0,1.1,0.0
Old Sturbridge Academy Charter Public School (District),35150000,       7,40.0,        280,4.6,0.7,13.2,80.4,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,2230000,     153,15.4,        472,1.3,0.6,8.5,84.5,0.2,0.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orleans,2240000,     190,10.9,        174,4.0,1.2,10.9,78.7,0.6,0.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford,2260000,     622,16.5,"      1,488",2.4,1.1,12.8,79.1,0.1,0.1,4.2,Oxford,     122,      28,      45,      24,      15,      10,59.8,40.2,Oxford,      74,     122,      40,      22,      10,       2,       0,Oxford,89.0,54.0,60.7,0.0,25.9,27.8,46.3,27.8,31.5,9.3,Oxford,      78,521.0,,506.0,Oxford,       106,82.1,5.7,1.9,0.0,10.4,0.0
Palmer,2270000,     985,14.7,"      1,208",3.7,2.5,13.3,75.9,0.1,0.0,4.5,Palmer,      58,      21,      11,      17,       6,       3,55.2,44.8,Palmer,      40,      58,      25,      12,       3,       0,       0,Palmer,83.0,44.0,53.0,0.0,31.8,50.0,18.2,47.7,6.8,4.5,Palmer,       9,,,,Palmer,        89,92.1,5.6,0.0,0.0,2.2,0.0
Pathfinder Regional Vocational Technical,8600000,     548,11.3,        602,0.7,0.0,4.2,92.2,0.0,0.0,3.0,Pathfinder Regional Vocational Technical,     104,      58,      35,       9,       1,       1,89.4,10.6,Pathfinder Regional Vocational Technical,      74,     104,      50,      18,       6,       0,       0,Pathfinder Regional Vocational Technical,151.0,34.0,22.5,0.0,32.4,50.0,17.6,47.1,17.6,0.0,Pathfinder Regional Vocational Technical,       3,,,,Pathfinder Regional Vocational Technical,       161,92.5,3.7,1.9,0.0,1.9,0.0
Paulo Freire Social Justice Charter School (District),35010000,     184,15.1,        250,10.0,0.4,86.8,2.4,0.0,0.4,0.0,Paulo Freire Social Justice Charter School (District),      15,      13,       2,       0,       0,       0,100.0,0.0,Paulo Freire Social Justice Charter School (District),      13,      15,      12,       0,       1,       0,       0,Paulo Freire Social Justice Charter School (District),54.0,15.0,27.8,0.0,33.3,53.3,13.3,53.3,13.3,0.0,Paulo Freire Social Justice Charter School (District),       4,,,,Paulo Freire Social Justice Charter School (District),        73,71.4,24.7,0.0,0.0,4.0,0.0
Peabody,2290000,"   2,964",16.4,"      5,813",3.8,2.1,19.4,72.5,0.2,0.0,2.0,Peabody,     308,      30,     104,      79,      73,      22,43.5,56.5,Peabody,     188,     308,     107,      55,      13,      13,       0,Peabody,335.0,204.0,60.9,0.0,37.7,20.6,41.7,19.1,18.6,12.3,Peabody,     169,537.0,,530.0,Peabody,       374,88.0,5.9,0.3,0.0,5.9,0.0
Pelham,2300000,      43,13.9,        102,3.9,4.9,12.8,72.6,0.0,0.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,2310000,"   1,195",16.9,"      2,620",0.5,1.0,1.9,94.0,0.1,0.0,2.5,Pembroke,     388,      47,     105,     117,      83,      36,39.2,60.8,Pembroke,     210,     388,      98,      57,      45,       9,       1,Pembroke,191.0,139.0,72.8,0.0,36.0,7.2,56.8,7.2,12.2,21.6,Pembroke,     157,573.0,,561.0,Pembroke,       192,97.9,2.1,0.0,0.0,0.0,0.0
Pentucket,7450000,"   1,226",16.3,"      2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,Pentucket,     332,      35,      87,     104,      68,      38,36.7,63.3,Pentucket,     179,     332,      75,      64,      32,       7,       1,Pentucket,182.0,146.0,80.2,0.0,40.4,13.0,46.6,13.0,4.1,18.5,Pentucket,     198,581.0,,572.0,Pentucket,       188,94.7,1.6,0.0,0.5,3.2,0.0
Petersham,2340000,      49,15.9,        121,0.0,0.0,8.3,88.4,0.0,0.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Academy Public Charter High School Lawrence (District),35180000,      46,6.5,        156,0.6,0.0,90.4,7.7,1.3,0.0,0.0,,,,,,,,,,,,,,,,,,Phoenix Academy Public Charter High School Lawrence (District),18.0,3.0,16.7,0.0,0.0,66.7,33.3,66.7,0.0,0.0,,,,,,Phoenix Academy Public Charter High School Lawrence (District),        42,19.6,66.1,0.0,0.0,14.3,0.0
Phoenix Academy Public Charter High School Springfield (District),35080000,      12,61.9,        201,13.4,0.5,76.6,6.0,0.5,0.5,2.5,,,,,,,,,,,,,,,,,,Phoenix Academy Public Charter High School Springfield (District),10.0,,,,,,,,,,,,,,,Phoenix Academy Public Charter High School Springfield (District),        62,14.4,57.6,0.0,3.6,24.4,0.0
Phoenix Charter Academy (District),4930000,      30,37.1,        216,11.1,0.0,83.8,3.2,1.4,0.0,0.5,,,,,,,,,,,,,,,,,,Phoenix Charter Academy (District),15.0,3.0,20.0,0.0,66.7,33.3,0.0,33.3,0.0,0.0,,,,,,Phoenix Charter Academy (District),       101,9.9,31.7,0.0,2.0,56.4,0.0
